<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
10/02/18;000000;8671.0000000;9090.0000000;8155.0100000;8547.4900000;10314
11/02/18;000000;8547.4800000;8547.4900000;7857.7800000;8072.9900000;7472
12/02/18;000000;8073.0000000;8950.0000000;8072.9900000;8872.2800000;7935
13/02/18;000000;8872.2700000;8925.0000000;8393.1000000;8520.0100000;5663
14/02/18;000000;8520.0100000;9482.5000000;8520.0000000;9472.9800000;8968
15/02/18;000000;9472.9800000;10249.8100000;9342.4600000;10031.2300000;7900
16/02/18;000000;10027.8000000;10307.6800000;9730.0100000;10167.4900000;5297
17/02/18;000000;10167.4900000;11149.0000000;10057.0000000;11121.5000000;6183
18/02/18;000000;11121.5000000;11299.1000000;10159.0000000;10380.0400000;6655
19/02/18;000000;10380.0400000;11274.1100000;10297.3900000;11140.0000000;4555
20/02/18;000000;11140.0000000;11775.0000000;11000.0100000;11235.5700000;7124
21/02/18;000000;11235.5700000;11278.4800000;10250.0000000;10454.2700000;7526
22/02/18;000000;10450.0100000;10900.0000000;9715.2700000;9830.0000000;7323
23/02/18;000000;9830.0000000;10390.7700000;9576.4300000;10144.9900000;5952
24/02/18;000000;10144.0000000;10494.1400000;9372.7200000;9688.6200000;5517
25/02/18;000000;9688.6100000;9850.0000000;9324.7500000;9595.4200000;3690
26/02/18;000000;9600.0000000;10447.7400000;9404.0000000;10300.0000000;4965
27/02/18;000000;10300.0000000;10845.0700000;10134.0200000;10566.5700000;5044
28/02/18;000000;10556.2900000;11044.0000000;10263.0000000;10307.2700000;5203
01/03/18;000000;10307.2600000;11075.0000000;10213.9900000;10895.9200000;4383
02/03/18;000000;10895.9300000;11149.0000000;10765.0000000;11000.0000000;4410
03/03/18;000000;11000.0100000;11494.5700000;11000.0000000;11432.5000000;4131
04/03/18;000000;11432.5100000;11487.0000000;11041.0000000;11469.9000000;2967
05/03/18;000000;11469.9000000;11645.3600000;11368.3400000;11377.5400000;3283
06/03/18;000000;11371.5000000;11395.6300000;10565.8500000;10700.0000000;17201
07/03/18;000000;10700.0000000;10892.2100000;9400.0000000;9925.0000000;8723
08/03/18;000000;9925.0000000;10098.0000000;9064.9700000;9304.8900000;8428
09/03/18;000000;9304.9000000;9410.0000000;8370.0000000;9255.0000000;20552
10/03/18;000000;9255.0000000;9518.7700000;8727.6800000;8795.4400000;14499
11/03/18;000000;8795.4500000;9759.9800000;8516.0000000;9533.8800000;19200
12/03/18;000000;9533.8800000;9890.0000000;8780.4900000;9120.0000000;19435
13/03/18;000000;9120.0000000;9472.8800000;8855.0000000;9145.4100000;15807
14/03/18;000000;9145.4200000;9340.0000000;7931.0000000;8207.0200000;24926
15/03/18;000000;8207.0200000;8400.0000000;7666.0000000;8259.9900000;25837
16/03/18;000000;8260.0000000;8600.0000000;7911.0000000;8275.0000000;15687
17/03/18;000000;8274.0900000;8349.8200000;7751.0000000;7857.6000000;12431
18/03/18;000000;7857.5900000;8302.7300000;7310.0000000;8192.0000000;27669
19/03/18;000000;8192.0000000;8757.5000000;8108.3100000;8589.0000000;22838
20/03/18;000000;8589.0000000;9046.2600000;8316.1500000;8900.0000000;16561
21/03/18;000000;8900.0000000;9174.0000000;8745.0000000;8891.8100000;14734
22/03/18;000000;8891.8100000;9073.9300000;8467.2700000;8715.0900000;13928
23/03/18;000000;8715.0900000;8927.8100000;8280.0400000;8927.1000000;13829
24/03/18;000000;8927.8000000;8999.0000000;8508.0000000;8531.3400000;10191
25/03/18;000000;8531.9600000;8670.0000000;8359.4500000;8453.0000000;7882
26/03/18;000000;8453.0000000;8498.0000000;7854.0000000;8145.0000000;17640
27/03/18;000000;8144.9900000;8219.9900000;7757.0000000;7793.6100000;13919
28/03/18;000000;7793.6100000;8088.0000000;7727.7600000;7942.7200000;8088
29/03/18;000000;7942.7300000;7957.0000000;6905.0000000;7080.0000000;20467
30/03/18;000000;7080.0000000;7275.3500000;6600.0000000;6848.0100000;27989
