<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
27/04/18;000000;661.0100000;685.9100000;638.3300000;643.1100000;109276
28/04/18;000000;643.1100000;693.1500000;638.7000000;682.0000000;66023
29/04/18;000000;682.0100000;696.7100000;666.0400000;687.5100000;53597
30/04/18;000000;688.0000000;692.4500000;662.1100000;669.8100000;79129
01/05/18;000000;669.8200000;675.0100000;627.2000000;670.7500000;149654
02/05/18;000000;670.7400000;689.9800000;660.6300000;685.0200000;95786
03/05/18;000000;685.7100000;784.7600000;684.0000000;775.5100000;144479
04/05/18;000000;775.5100000;805.3100000;757.1000000;783.0100000;134243
05/05/18;000000;783.0100000;824.6700000;778.5000000;812.0000000;76561
06/05/18;000000;812.0000000;828.9700000;750.7000000;784.2800000;95643
07/05/18;000000;784.8800000;789.9800000;695.1100000;752.4200000;214697
08/05/18;000000;752.4300000;776.0000000;720.0000000;746.9900000;123272
09/05/18;000000;746.9900000;759.5000000;708.8000000;750.0000000;81473
10/05/18;000000;750.0000000;768.0000000;723.0100000;723.5100000;79737
11/05/18;000000;723.5100000;735.1900000;662.1800000;678.0500000;179018
12/05/18;000000;678.0500000;692.3900000;637.6500000;684.6600000;96386
13/05/18;000000;684.7000000;740.3100000;671.0000000;729.2900000;77753
14/05/18;000000;729.2900000;746.0600000;684.0000000;726.9000000;157393
15/05/18;000000;726.9100000;738.0000000;694.7500000;706.0800000;85384
16/05/18;000000;706.0900000;710.4400000;677.5500000;707.4500000;68732
17/05/18;000000;707.4500000;717.1700000;661.0000000;668.5600000;73384
18/05/18;000000;668.5600000;694.7100000;656.5000000;694.5000000;81455
19/05/18;000000;694.5000000;715.7600000;679.8800000;695.9600000;36895
20/05/18;000000;695.9700000;723.0000000;687.7000000;714.0000000;42196
21/05/18;000000;714.0000000;717.0000000;686.0500000;696.7700000;48390
22/05/18;000000;696.7700000;699.0000000;638.0000000;640.5000000;68406
23/05/18;000000;640.1300000;648.4600000;563.2700000;577.2000000;182741
24/05/18;000000;577.2000000;609.2100000;545.3600000;602.6400000;117423
25/05/18;000000;602.6500000;616.0000000;568.2700000;584.0200000;95517
26/05/18;000000;584.0200000;606.0000000;577.6500000;584.9900000;41946
27/05/18;000000;585.0000000;589.5000000;556.0000000;570.7500000;48396
28/05/18;000000;570.7500000;575.0000000;507.0000000;511.3300000;101435
29/05/18;000000;511.3300000;573.6400000;510.9100000;566.6600000;133705
30/05/18;000000;566.6500000;585.9200000;541.2300000;557.2200000;96131
31/05/18;000000;557.2200000;589.0000000;553.6000000;577.1000000;92562
01/06/18;000000;577.1000000;588.0000000;561.1100000;578.8900000;94442
02/06/18;000000;578.8900000;600.0000000;571.7500000;590.4600000;61935
03/06/18;000000;590.4600000;627.8300000;590.4600000;618.6300000;50491
04/06/18;000000;618.6300000;626.5500000;576.1500000;591.5000000;65482
05/06/18;000000;591.5100000;612.0000000;574.3100000;607.6000000;63199
06/06/18;000000;607.6000000;611.6900000;592.6300000;606.1800000;75366
07/06/18;000000;606.1900000;615.2600000;594.0000000;603.5600000;90760
08/06/18;000000;603.5600000;607.0000000;591.0000000;598.5900000;38006
09/06/18;000000;598.6000000;608.0000000;591.8100000;593.4100000;24076
10/06/18;000000;593.4000000;593.4100000;505.0000000;525.2500000;130479
11/06/18;000000;525.2500000;536.8500000;509.9700000;531.6800000;105869
12/06/18;000000;531.6800000;538.9900000;485.0000000;494.1400000;68917
13/06/18;000000;494.1400000;502.4000000;450.1100000;476.0200000;140257
14/06/18;000000;476.0300000;530.0000000;459.4500000;519.7500000;209303
15/06/18;000000;519.7500000;521.0000000;482.2200000;487.4500000;94323
16/06/18;000000;487.4500000;502.9700000;484.1200000;497.3100000;42982
17/06/18;000000;496.9900000;507.8300000;493.3300000;496.5000000;31969
18/06/18;000000;496.5000000;525.0000000;488.0000000;517.4700000;70669
19/06/18;000000;517.4700000;547.4000000;514.4500000;538.5000000;69717
20/06/18;000000;538.5000000;541.8000000;516.6700000;536.0000000;57185
21/06/18;000000;536.0000000;544.2300000;521.5000000;525.4900000;51054
22/06/18;000000;525.5000000;525.6500000;449.0200000;462.0100000;106669
23/06/18;000000;462.0100000;481.7400000;457.8700000;475.1700000;45504
24/06/18;000000;475.1800000;476.9000000;421.1000000;454.7900000;141854
25/06/18;000000;454.7900000;473.2700000;445.0000000;458.4100000;79103
26/06/18;000000;458.4100000;460.7200000;429.0000000;429.0800000;64763
27/06/18;000000;429.0800000;446.0000000;420.1200000;441.4100000;67207
28/06/18;000000;441.5000000;443.7800000;417.0000000;420.0000000;48433
29/06/18;000000;420.0100000;442.0000000;404.2200000;434.6000000;86910
30/06/18;000000;434.5000000;462.4900000;434.5000000;453.2900000;55605
01/07/18;000000;453.3000000;455.8700000;444.8500000;451.4300000;31353
02/07/18;000000;451.4300000;481.9900000;442.7900000;476.3400000;71199
03/07/18;000000;476.3400000;486.7600000;459.3100000;461.7500000;64833
04/07/18;000000;461.7500000;482.0100000;451.3500000;466.9000000;53730
05/07/18;000000;466.9000000;477.9900000;457.8500000;467.2500000;53607
06/07/18;000000;467.2400000;474.9900000;451.6800000;469.3000000;40901
07/07/18;000000;469.3000000;486.6900000;462.0000000;484.4800000;25764
08/07/18;000000;484.4900000;494.7400000;479.3100000;486.0800000;37309
09/07/18;000000;486.0900000;488.0000000;469.0000000;471.6000000;41412
10/07/18;000000;471.6000000;473.0000000;427.8800000;432.5900000;97203
11/07/18;000000;432.7100000;448.5100000;425.3400000;446.2500000;55264
